"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","SGP","Singapore","2016","2016",100,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","MYS","Malaysia","2016","2016",99.98732,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","LAO","Lao People's Democratic Republic","2016","2016",35.6895,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","PHL","Philippines","2015","2015",95.74975,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","PHL","Philippines","2016","2016",94.49394,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","MMR","Myanmar","2016","2016",59.27619,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","MYS","Malaysia","2016","2016",100,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","MYS","Malaysia","2017","2017",100,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","MMR","Myanmar","2017","2017",27.2645,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","LAO","Lao People's Democratic Republic","2016","2016",70.73016,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","IDN","Indonesia","2016","2016",91.03556,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","IDN","Indonesia","2017","2017",93.48207,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","SGP","Singapore","2016","2016",100,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","PHL","Philippines","2015","2015",86.34858,,
"SCHBSP_1_PU_WELEC","Proportion of public primary schools with access to electricity (%)","PHL","Philippines","2016","2016",86.32848,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","IDN","Indonesia","2016","2016",91.07561,,
"SCHBSP_2_PU_WELEC","Proportion of public lower secondary schools with access to electricity (%)","IDN","Indonesia","2017","2017",94.60051,,
"SCHBSP_1_PU_WCOMPUT","Proportion of public primary schools with access to computers for pedagogical purposes (%)","SGP","Singapore","2016","2016",100,,
"SCHBSP_1_PR_WINFSTUDIS","Proportion of private primary schools with access to adapted infrastructure and materials for students with disabilities (%)","MYS","Malaysia","2017","2017",53.08642,,
"SCHBSP_1_PU_WINTERN","Proportion of public primary schools with access to Internet for pedagogical purposes (%)","IDN","Indonesia","2016","2016",1.37331,,
"SCHBSP_1_PU_WINTERN","Proportion of public primary schools with access to Internet for pedagogical purposes (%)","IDN","Indonesia","2017","2017",4.59592,,
"SCHBSP_1_PU_WINTERN","Proportion of public primary schools with access to Internet for pedagogical purposes (%)","MYS","Malaysia","2016","2016",100,,
"SCHBSP_1_PR_WWASH","Proportion of private primary schools with basic handwashing facilities (%)","MYS","Malaysia","2016","2016",67.42857,,
"SCHBSP_1_PR_WINTERN","Proportion of private primary schools with access to Internet for pedagogical purposes (%)","MYS","Malaysia","2016","2016",67.42857,,
"SCHBSP_1_PU_WCOMPUT","Proportion of public primary schools with access to computers for pedagogical purposes (%)","IDN","Indonesia","2017","2017",25.44852,,
"SCHBSP_1_PR_WWATA","Proportion of private primary schools with access to basic drinking water (%)","SGP","Singapore","2016","2016",100,,
"SCHBSP_1_PU_WINTERN","Proportion of public primary schools with access to Internet for pedagogical purposes (%)","SGP","Singapore","2016","2016",100,,
