"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","PHL","Philippines","2013","2013",1.00811,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2013","2013",95.25126,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","THA","Thailand","2015","2015",94.65912,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","MYS","Malaysia","2016","2016",0.56843,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","LAO","Lao People's Democratic Republic","2015","2015",94.40438,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","IDN","Indonesia","2014","2014",0.88271,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","IDN","Indonesia","2015","2015",0.72003,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","IDN","Indonesia","2016","2016",0.73464,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","LAO","Lao People's Democratic Republic","2015","2015",0.59832,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2013","2013",98.65491,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","THA","Thailand","2015","2015",98.29299,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MYS","Malaysia","2016","2016",96.297,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2014","2014",78.05509,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","KHM","Cambodia","2015","2015",80.52649,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","MMR","Myanmar","2016","2016",84.75116,"‡","UIS Estimation"
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","LAO","Lao People's Democratic Republic","2015","2015",84.66104,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","IDN","Indonesia","2014","2014",96.79101,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","IDN","Indonesia","2015","2015",97.10652,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","IDN","Indonesia","2016","2016",97.17444,,
