"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2012","2012",0.63928,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2013","2013",0.63702,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2016","2016",0.66942,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2012","2012",0.28654,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2013","2013",0.45435,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2014","2014",0.40578,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IDN","Indonesia","2012","2012",1.423,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IDN","Indonesia","2013","2013",1.42625,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IDN","Indonesia","2014","2014",1.4361,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IDN","Indonesia","2015","2015",1.52661,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2012","2012",1.92766,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2013","2013",1.76212,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2014","2014",1.68094,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2015","2015",1.65193,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2016","2016",1.63108,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2017","2017",1.60135,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","THA","Thailand","2012","2012",2.0316,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","THA","Thailand","2013","2013",1.69522,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2012","2012",0.79346,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2013","2013",1.33683,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2014","2014",1.19401,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MYS","Malaysia","2012","2012",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MYS","Malaysia","2013","2013",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MYS","Malaysia","2016","2016",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MYS","Malaysia","2017","2017",,"a","Category not applicable"
