"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2012","2012",53.69347,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2013","2013",42.84098,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2014","2014",52.32575,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2015","2015",61.45415,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2016","2016",51.09626,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","BRN","Brunei Darussalam","2017","2017",51.30195,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","IDN","Indonesia","2012","2012",40.19987,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","IDN","Indonesia","2013","2013",44.69626,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","IDN","Indonesia","2014","2014",52.04811,"‡","UIS Estimation"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","IDN","Indonesia","2016","2016",63.72716,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","IDN","Indonesia","2017","2017",66.53564,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","KHM","Cambodia","2012","2012",93.76949,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","KHM","Cambodia","2014","2014",60.01402,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","KHM","Cambodia","2015","2015",35.67396,"‡","UIS Estimation"
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","KHM","Cambodia","2016","2016",49.20681,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","KHM","Cambodia","2017","2017",49.94427,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","MYS","Malaysia","2012","2012",36.12792,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","MYS","Malaysia","2015","2015",38.35125,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","MYS","Malaysia","2016","2016",53.75426,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","MYS","Malaysia","2017","2017",43.00857,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2012","2012",59.26583,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2013","2013",63.57534,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2014","2014",63.10519,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2015","2015",55.38859,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2016","2016",55.84957,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2017","2017",52.78948,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","PHL","Philippines","2014","2014",32.12758,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","PHL","Philippines","2015","2015",39.26372,,
"FOFSTP_1","Out-of-school children of primary school age, percentage female (%)","PHL","Philippines","2016","2016",43.62408,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","PHL","Philippines","2014","2014",401630,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","PHL","Philippines","2015","2015",483240,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","PHL","Philippines","2016","2016",586284,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2012","2012",725,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2013","2013",442,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2014","2014",742,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2015","2015",883,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2016","2016",656,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","BRN","Brunei Darussalam","2017","2017",695,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MMR","Myanmar","2014","2014",192541,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MMR","Myanmar","2017","2017",109055,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","BRN","Brunei Darussalam","2012","2012",1351,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","BRN","Brunei Darussalam","2013","2013",1031,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","BRN","Brunei Darussalam","2014","2014",1418,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","BRN","Brunei Darussalam","2015","2015",1437,,
