"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2012","2012",46.57539,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2013","2013",41.07842,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2014","2014",45.24586,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2015","2015",46.05281,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2016","2016",45.0447,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","BRN","Brunei Darussalam","2017","2017",45.00792,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","IDN","Indonesia","2012","2012",45.52355,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","IDN","Indonesia","2013","2013",49.67935,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","IDN","Indonesia","2014","2014",50.47543,"‡","UIS Estimation"
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2012","2012",54.53477,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2013","2013",53.96598,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2014","2014",53.8458,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2015","2015",53.07424,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2016","2016",52.54093,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","LAO","Lao People's Democratic Republic","2017","2017",52.00959,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","MYS","Malaysia","2012","2012",41.71314,"‡","UIS Estimation"
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","MYS","Malaysia","2013","2013",42.83142,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","MYS","Malaysia","2014","2014",43.77276,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","MYS","Malaysia","2015","2015",42.81768,,
"FOFSTP_1T3","Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)","MYS","Malaysia","2016","2016",42.61353,,
