"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"PTRHC_02","Pupil-teacher ratio in pre-primary education (headcount basis)","MMR","Myanmar","2017","2017",18.99277,,
"PTRHC_5T8","Pupil-teacher ratio in tertiary education (headcount basis)","MMR","Myanmar","2012","2012",25.2772,,
"PTRHC_5T8","Pupil-teacher ratio in tertiary education (headcount basis)","MMR","Myanmar","2017","2017",57.18148,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2012","2012",18.12275,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2013","2013",17.37462,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2014","2014",18.05856,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2015","2015",18.48722,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2016","2016",17.88309,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","LAO","Lao People's Democratic Republic","2017","2017",17.32903,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2012","2012",10.58767,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2013","2013",10.15195,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2014","2014",10.25924,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2015","2015",10.01661,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2016","2016",10.19678,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","BRN","Brunei Darussalam","2017","2017",10.18252,,
"PTRHC_02","Pupil-teacher ratio in pre-primary education (headcount basis)","PHL","Philippines","2015","2015",29.64186,,
"PTRHC_02","Pupil-teacher ratio in pre-primary education (headcount basis)","PHL","Philippines","2016","2016",33.62756,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2012","2012",19.39912,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2013","2013",18.88349,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2014","2014",19.21383,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2015","2015",19.2242,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2016","2016",19.62995,,
"PTRHC_1","Pupil-teacher ratio in primary education (headcount basis)","VNM","Viet Nam","2017","2017",19.64643,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","KHM","Cambodia","2012","2012",20.16037,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","KHM","Cambodia","2013","2013",20.07371,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","KHM","Cambodia","2014","2014",19.7956,,
"PTRHC_2","Pupil-teacher ratio in lower secondary education (headcount basis)","KHM","Cambodia","2015","2015",19.95644,,
