Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,8.7609,8.893429756,8.920740128,,,,,,,,,,5.291540146,9.182189941,9.727820396,,9.985910416,,,
Cambodia,,,,9.392000198,,11.07901001,11.38078976,10.13757038,,12.40431023,,,11.1035099,,8.386630058,7.707099915,7.684470177,7.535759926,9.912719727,9.093529701,,,
Indonesia,6.146460056,7.496819973,7.71021986,,,,11.59389019,14.36905003,16.27817917,14.17029953,15.1487999,,14.94431019,13.67475033,19.30843925,16.65418053,18.00613022,18.09041977,17.60392952,17.67214012,20.51762962,,
Lao PDR,,,,,,7.266129971,9.117380142,16.20454979,,16.24382973,13.73157978,17.48047066,17.35745049,13.96300983,8.174079895,7.275949955,8.014670372,8.58465004,12.80755043,12.18988037,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,18.02728081,21.27754021,18.98456955,,21.18855095,21.39068031,24.34852028,25.90360069,24.54244041,21.01292038,,16.74556923,16.12466049,14.03864002,18.46463013,18.40623093,20.97702026,19.92865944,19.45430946,19.7043705,19.72425079,,
Philippines,15.24298,17.56657028,15.17012978,18.18099022,,15.20676041,13.91590977,14.06892967,14.38022041,12.75084972,12.42236042,13.26852989,13.66701984,14.4419899,13.21115971,,,,,,,,
Singapore,,,,,,18.2845993,19.46945,18.1828804,21.80652046,20.30520058,19.81694984,19.74931908,20.01840973,19.94285965,17.19886971,17.1686306,19.89241028,21.16143036,19.95866013,,,,
Thailand,18.90245056,20.03906059,21.20360947,19.4810009,18.97901917,28.3885994,24.24134064,16.22293091,20.86635017,21.45767021,20.54681969,22.00279045,18.48467064,18.16284943,18.17830086,16.22262001,22.63023949,21.39679909,18.86020088,,,,
Vietnam,,,,,,,,,,,,,,18.05421066,15.23900032,17.11449051,17.86837006,18.81921005,18.53307915,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
